embedding_base,index_type,query_order,dynamic,static,delta_dynamic_static,dynamic_better,static_better,tie
MPNet,IVF,62,3.5,2.9,0.6000000000000001,True,False,False
MPNet,IVF,63,2.7,3.6,-0.8999999999999999,False,True,False
MPNet,IVF,64,2.8,3.9,-1.1,False,True,False
MPNet,IVF,65,3.4,3.0,0.3999999999999999,True,False,False
MPNet,IVF,66,2.2,2.5,-0.2999999999999998,False,True,False
MPNet,IVF,67,3.8,3.0,0.7999999999999998,True,False,False
MPNet,IVF,68,3.9,2.6,1.2999999999999998,True,False,False
MPNet,IVF,69,2.5,1.5,1.0,True,False,False
MPNet,IVF,70,4.4,4.2,0.20000000000000018,True,False,False
MPNet,IVF,71,2.5,4.5,-2.0,False,True,False
MPNet,IVF,72,5.0,5.0,0.0,False,False,True
MPNet,IVF,73,2.9,3.9,-1.0,False,True,False
MPNet,IVF,74,4.6,3.9,0.6999999999999997,True,False,False
MPNet,IVF,75,3.5,2.6,0.8999999999999999,True,False,False
MPNet,IVF,76,2.9,3.1,-0.20000000000000018,False,True,False
MPNet,IVF,77,3.5,3.2,0.2999999999999998,True,False,False
MPNet,IVF,78,3.7,1.4,2.3000000000000003,True,False,False
MPNet,IVF,79,2.7,3.3,-0.5999999999999996,False,True,False
MPNet,IVF,80,3.4,3.6,-0.20000000000000018,False,True,False
MPNet,IVF,81,3.2,3.4,-0.19999999999999973,False,True,False
MPNet,IVF,82,3.9,3.0,0.8999999999999999,True,False,False
MPNet,IVF,83,2.6,1.9,0.7000000000000002,True,False,False
MPNet,IVF,84,4.4,3.4,1.0000000000000004,True,False,False
MPNet,IVF,85,5.0,5.0,0.0,False,False,True
MPNet,IVF,86,3.6,2.6,1.0,True,False,False
MPNet,IVF,87,2.5,3.8,-1.2999999999999998,False,True,False
MPNet,IVF,88,3.6,3.9,-0.2999999999999998,False,True,False
MPNet,IVF,89,2.5,2.5,0.0,False,False,True
MPNet,IVF,90,4.1,3.2,0.8999999999999995,True,False,False
MPNet,IVF,91,2.3,3.9,-1.6,False,True,False
MPNet,IVF,92,2.9,3.3,-0.3999999999999999,False,True,False
MPNet,IVF,93,4.1,2.8,1.2999999999999998,True,False,False
MPNet,IVF,94,2.8,3.0,-0.20000000000000018,False,True,False
MPNet,IVF,95,3.6,3.1,0.5,True,False,False
MPNet,IVF,96,3.3,3.4,-0.10000000000000009,False,True,False
MPNet,IVF,97,2.9,4.6,-1.6999999999999997,False,True,False
MPNet,IVF,98,1.7,2.8,-1.0999999999999999,False,True,False
MPNet,IVF,99,4.0,3.3,0.7000000000000002,True,False,False
MPNet,IVFPQ,0,3.5,3.0,0.5,True,False,False
MPNet,IVFPQ,1,3.3,3.6,-0.30000000000000027,False,True,False
MPNet,IVFPQ,2,3.9,3.9,0.0,False,False,True
MPNet,IVFPQ,3,3.7,3.4,0.30000000000000027,True,False,False
MPNet,IVFPQ,4,2.9,4.7,-1.8000000000000003,False,True,False
MPNet,IVFPQ,5,3.5,3.1,0.3999999999999999,True,False,False
MPNet,IVFPQ,6,5.0,5.0,0.0,False,False,True
MPNet,IVFPQ,7,2.5,3.8,-1.2999999999999998,False,True,False
MPNet,IVFPQ,8,2.8,4.4,-1.6000000000000005,False,True,False
MPNet,IVFPQ,9,3.0,3.7,-0.7000000000000002,False,True,False
MPNet,IVFPQ,10,4.3,3.8,0.5,True,False,False
MPNet,IVFPQ,11,4.8,5.0,-0.20000000000000018,False,True,False
MPNet,IVFPQ,12,2.7,2.2,0.5,True,False,False
MPNet,IVFPQ,13,3.6,2.1,1.5,True,False,False
MPNet,IVFPQ,14,3.5,3.9,-0.3999999999999999,False,True,False
MPNet,IVFPQ,15,3.8,2.5,1.2999999999999998,True,False,False
MPNet,IVFPQ,16,3.0,2.6,0.3999999999999999,True,False,False
MPNet,IVFPQ,17,3.2,3.5,-0.2999999999999998,False,True,False
MPNet,IVFPQ,18,3.8,3.4,0.3999999999999999,True,False,False
MPNet,IVFPQ,19,2.9,3.2,-0.30000000000000027,False,True,False
MPNet,IVFPQ,20,4.0,3.8,0.20000000000000018,True,False,False
MPNet,IVFPQ,21,3.2,2.6,0.6000000000000001,True,False,False
MPNet,IVFPQ,22,2.3,4.1,-1.7999999999999998,False,True,False
MPNet,IVFPQ,23,4.3,4.3,0.0,False,False,True
MPNet,IVFPQ,24,1.9,3.7,-1.8000000000000003,False,True,False
MPNet,IVFPQ,25,3.1,2.3,0.8000000000000003,True,False,False
MPNet,IVFPQ,26,2.7,2.9,-0.19999999999999973,False,True,False
MPNet,IVFPQ,27,3.6,4.2,-0.6000000000000001,False,True,False
MPNet,IVFPQ,28,3.5,2.8,0.7000000000000002,True,False,False
MPNet,IVFPQ,29,2.1,3.3,-1.1999999999999997,False,True,False
MPNet,IVFPQ,30,3.0,2.9,0.10000000000000009,True,False,False
MPNet,IVFPQ,31,2.1,2.8,-0.6999999999999997,False,True,False
MPNet,IVFPQ,32,4.4,4.0,0.40000000000000036,True,False,False
MPNet,IVFPQ,33,2.3,4.0,-1.7000000000000002,False,True,False
MPNet,IVFPQ,34,2.0,1.8,0.19999999999999996,True,False,False
MPNet,IVFPQ,35,2.6,2.0,0.6000000000000001,True,False,False
MPNet,IVFPQ,36,3.1,3.5,-0.3999999999999999,False,True,False
MPNet,IVFPQ,37,2.5,3.8,-1.2999999999999998,False,True,False
MPNet,IVFPQ,38,2.6,3.1,-0.5,False,True,False
MPNet,IVFPQ,39,3.7,2.4,1.3000000000000003,True,False,False
MPNet,IVFPQ,40,2.8,3.0,-0.20000000000000018,False,True,False
MPNet,IVFPQ,41,5.0,5.0,0.0,False,False,True
MPNet,IVFPQ,42,3.3,3.4,-0.10000000000000009,False,True,False
MPNet,IVFPQ,43,3.8,3.7,0.09999999999999964,True,False,False
MPNet,IVFPQ,44,3.5,3.2,0.2999999999999998,True,False,False
MPNet,IVFPQ,45,3.2,4.9,-1.7000000000000002,False,True,False
MPNet,IVFPQ,46,2.7,3.3,-0.5999999999999996,False,True,False
MPNet,IVFPQ,47,3.8,3.6,0.19999999999999973,True,False,False
MPNet,IVFPQ,48,3.0,4.4,-1.4000000000000004,False,True,False
MPNet,IVFPQ,49,3.4,3.7,-0.30000000000000027,False,True,False
MPNet,IVFPQ,50,3.5,3.0,0.5,True,False,False
MPNet,IVFPQ,51,2.6,3.3,-0.6999999999999997,False,True,False
MPNet,IVFPQ,52,3.4,3.7,-0.30000000000000027,False,True,False
MPNet,IVFPQ,53,3.0,3.5,-0.5,False,True,False
MPNet,IVFPQ,54,1.4,3.0,-1.6,False,True,False
MPNet,IVFPQ,55,2.3,4.9,-2.6000000000000005,False,True,False
MPNet,IVFPQ,56,3.5,3.7,-0.20000000000000018,False,True,False
MPNet,IVFPQ,57,2.3,1.8,0.4999999999999998,True,False,False
MPNet,IVFPQ,58,1.4,3.2,-1.8000000000000003,False,True,False
MPNet,IVFPQ,59,2.7,3.1,-0.3999999999999999,False,True,False
MPNet,IVFPQ,60,3.2,3.2,0.0,False,False,True
MPNet,IVFPQ,61,3.6,3.7,-0.10000000000000009,False,True,False
MPNet,IVFPQ,62,3.4,2.7,0.6999999999999997,True,False,False
MPNet,IVFPQ,63,2.1,3.6,-1.5,False,True,False
MPNet,IVFPQ,64,2.7,3.6,-0.8999999999999999,False,True,False
MPNet,IVFPQ,65,3.7,3.0,0.7000000000000002,True,False,False
MPNet,IVFPQ,66,3.0,2.6,0.3999999999999999,True,False,False
MPNet,IVFPQ,67,3.7,3.0,0.7000000000000002,True,False,False
MPNet,IVFPQ,68,3.0,3.3,-0.2999999999999998,False,True,False
MPNet,IVFPQ,69,2.9,1.4,1.5,True,False,False
MPNet,IVFPQ,70,3.7,3.3,0.40000000000000036,True,False,False
MPNet,IVFPQ,71,2.9,3.9,-1.0,False,True,False
MPNet,IVFPQ,72,4.9,5.0,-0.09999999999999964,False,True,False
MPNet,IVFPQ,73,2.6,3.3,-0.6999999999999997,False,True,False
MPNet,IVFPQ,74,4.4,5.0,-0.5999999999999996,False,True,False
MPNet,IVFPQ,75,4.0,1.3,2.7,True,False,False
MPNet,IVFPQ,76,2.8,2.1,0.6999999999999997,True,False,False
MPNet,IVFPQ,77,3.5,3.1,0.3999999999999999,True,False,False
MPNet,IVFPQ,78,3.6,1.3,2.3,True,False,False
MPNet,IVFPQ,79,2.8,4.1,-1.2999999999999998,False,True,False
MPNet,IVFPQ,80,3.6,3.5,0.10000000000000009,True,False,False
MPNet,IVFPQ,81,3.1,3.7,-0.6000000000000001,False,True,False
MPNet,IVFPQ,82,3.7,3.1,0.6000000000000001,True,False,False
MPNet,IVFPQ,83,2.0,2.2,-0.20000000000000018,False,True,False
MPNet,IVFPQ,84,3.0,3.5,-0.5,False,True,False
MPNet,IVFPQ,85,5.0,4.9,0.09999999999999964,True,False,False
MPNet,IVFPQ,86,3.5,3.7,-0.20000000000000018,False,True,False
MPNet,IVFPQ,87,2.3,3.8,-1.5,False,True,False
MPNet,IVFPQ,88,3.6,3.6,0.0,False,False,True
MPNet,IVFPQ,89,2.5,2.8,-0.2999999999999998,False,True,False
MPNet,IVFPQ,90,3.4,2.7,0.6999999999999997,True,False,False
MPNet,IVFPQ,91,3.1,3.1,0.0,False,False,True
MPNet,IVFPQ,92,3.2,3.7,-0.5,False,True,False
MPNet,IVFPQ,93,3.2,2.7,0.5,True,False,False
MPNet,IVFPQ,94,3.6,3.3,0.30000000000000027,True,False,False
MPNet,IVFPQ,95,3.3,3.2,0.09999999999999964,True,False,False
MPNet,IVFPQ,96,4.1,3.6,0.49999999999999956,True,False,False
MPNet,IVFPQ,97,3.2,4.4,-1.2000000000000002,False,True,False
MPNet,IVFPQ,98,1.8,2.7,-0.9000000000000001,False,True,False
MPNet,IVFPQ,99,2.7,3.6,-0.8999999999999999,False,True,False
